Age,Sex,Height ,Reason,SBF,EBF,Starting,Ending,CI,API,ACI,AFI,Sleep,HealthFactors,BMR
59,Female,66,Losing fat,21,23,195,105,2435,82,54,31,4.1,No,1166
46,Female,66,Losing fat,45,30,116,137,2563,141,120,85,7.1,No,1030
25,Female,54,Losing fat,34,27,157,193,3019,73,25,48,7.2,No,1219
18,Male,58,Gaining muscle,19,19,107,187,2320,149,25,42,3.3,No,1770
23,Male,63,Gaining muscle,18,13,195,111,4300,75,85,114,8.0,No,1824
21,Male,70,Gaining muscle,15,12,195,139,4164,225,103,475,6.8,No,2282
13,Male,73,Losing fat,22,16,181,117,2531,63,26,44,6.0,No,1547
35,Male,62,Losing fat,22,14,183,144,1935,135,54,74,10.8,No,1904
15,Female,59,Gaining muscle,22,22,113,136,4300,91,70,129,5.8,No,1032
24,Male,63,Losing fat,35,15,162,174,4204,79,25,93,5.4,No,1030
13,Male,65,Losing fat,14,24,142,122,1200,202,39,185,6.1,No,1030
34,Male,63,Losing fat,21,23,107,138,2123,207,25,475,7.7,No,1450
13,Male,66,Gaining muscle,18,17,171,110,2603,74,87,475,4.8,No,2276
41,Female,73,Gaining muscle,16,19,170,149,4300,95,206,117,7.9,No,1702
23,Female,70,Losing fat,19,22,160,105,2648,69,25,32,9.9,No,1391
29,Female,50,Gaining muscle,23,29,151,125,1201,66,34,70,5.6,No,1917
16,Female,50,Losing fat,23,13,107,115,2205,51,25,65,6.2,No,1410
13,Female,50,Losing fat,27,22,112,129,1200,69,25,72,7.9,No,1432
18,Female,61,Losing fat,37,24,100,90,1282,51,25,45,5.5,No,1030
47,Male,67,Gaining muscle,14,13,118,162,4300,125,50,109,5.2,No,2163
33,Male,60,Losing fat,24,20,167,92,2703,137,25,213,6.6,No,2939
13,Female,51,Gaining muscle,18,21,165,180,2681,65,55,73,8.1,No,1918
13,Female,50,Losing fat,21,17,107,127,1767,115,25,30,8.0,No,1443
13,Female,58,Losing fat,21,12,100,90,2340,51,31,72,7.3,No,1289
15,Female,50,Losing fat,23,22,136,90,2050,72,60,22,9.7,No,1030
43,Male,62,Losing fat,34,18,150,131,2542,225,75,289,8.5,No,1987
13,Female,63,Losing fat,20,16,109,117,2499,118,80,104,5.3,No,1030
13,Male,61,Losing fat,41,15,140,146,2382,85,41,123,11.0,No,1039
35,Female,53,Losing fat,32,22,138,116,1608,56,25,65,5.6,No,1560
29,Female,65,Gaining muscle,18,18,195,197,1876,225,25,111,7.0,No,1487
15,Female,55,Gaining muscle,12,18,145,96,3953,92,105,126,5.7,No,1148
13,Male,62,Gaining muscle,19,22,119,134,2345,96,61,85,9.9,No,1704
13,Female,65,Gaining muscle,23,12,119,90,2305,54,74,36,7.6,No,1388
24,Male,73,Gaining muscle,21,25,184,207,2693,85,25,22,4.7,No,1301
13,Female,54,Losing fat,19,17,132,171,1200,53,34,72,9.9,No,1321
57,Male,69,Gaining muscle,13,17,181,206,4185,225,32,133,4.9,No,2595
13,Male,50,Gaining muscle,23,14,127,94,1200,66,25,100,5.0,No,1926
13,Male,51,Gaining muscle,20,17,122,124,3757,121,117,70,11.0,No,1387
37,Female,56,Losing fat,37,22,195,153,3689,93,49,55,5.7,No,1030
13,Female,50,Losing fat,28,18,104,90,2051,57,25,86,6.2,No,1030
19,Female,67,Losing fat,24,17,129,146,1791,126,25,22,9.1,No,1458
13,Female,50,Gaining muscle,45,21,162,96,2615,92,37,95,5.3,No,1030
13,Male,55,Gaining muscle,12,12,138,128,3277,65,69,155,7.3,No,2211
23,Male,61,Gaining muscle,19,30,114,90,1852,56,68,41,7.5,No,1030
73,Male,72,Gaining muscle,21,20,195,144,3698,136,56,47,8.5,No,1837
31,Male,71,Gaining muscle,21,22,163,111,2582,117,82,96,5.7,No,1871
22,Female,64,Gaining muscle,33,13,195,112,2007,80,25,47,7.2,No,1497
43,Male,71,Gaining muscle,14,16,129,104,4300,70,25,180,6.8,No,2288
38,Male,67,Gaining muscle,19,21,195,90,2476,119,42,43,3.0,No,1419
13,Male,60,Gaining muscle,14,12,105,126,3879,110,67,97,4.7,No,1916
51,Female,71,Gaining muscle,15,29,177,90,1366,68,119,475,7.0,No,1512
13,Male,50,Losing fat,21,20,160,90,1843,72,25,29,4.1,No,1030
13,Male,63,Gaining muscle,45,18,151,90,2798,78,76,74,11.0,No,1030
47,Female,70,Losing fat,20,15,189,131,3587,67,164,219,9.0,No,1824
35,Male,68,Gaining muscle,45,18,190,92,1822,187,123,384,10.8,No,2029
22,Male,68,Gaining muscle,22,18,179,127,2803,63,25,70,5.7,No,1348
50,Male,71,Gaining muscle,19,20,182,151,2576,225,80,81,5.0,No,2385
13,Male,53,Gaining muscle,16,19,106,90,3047,150,64,62,11.0,No,1572
17,Male,64,Gaining muscle,15,17,117,100,1806,51,70,63,7.2,No,1237
13,Female,58,Losing fat,24,21,119,90,3635,61,43,67,8.6,No,1650
13,Female,53,Losing fat,21,23,121,90,1466,58,49,102,7.3,No,1328
20,Male,73,Gaining muscle,17,27,167,195,2313,76,112,76,7.7,No,1816
13,Female,50,Gaining muscle,22,20,167,128,1734,85,38,49,10.4,No,1048
18,Male,65,Gaining muscle,21,25,110,103,2848,125,62,22,11.0,No,1054
23,Male,57,Losing fat,33,24,170,109,1945,180,53,22,5.1,No,1311
28,Female,63,Losing fat,36,22,104,90,2244,69,96,179,6.6,No,1274
13,Male,74,Gaining muscle,19,23,132,127,4300,225,35,324,5.7,No,2074
13,Male,66,Losing fat,34,16,159,125,2411,97,25,79,11.0,No,1671
22,Female,63,Gaining muscle,18,12,164,111,1761,72,25,74,7.7,No,1254
19,Female,60,Gaining muscle,20,18,195,99,4300,91,27,227,11.0,No,1030
13,Female,59,Losing fat,35,16,170,90,2650,70,66,83,8.2,No,1303
35,Male,68,Losing fat,20,22,113,90,2173,96,34,115,5.8,No,1771
17,Male,66,Losing fat,33,17,170,140,1645,82,25,57,5.1,No,1227
20,Male,67,Gaining muscle,34,21,163,144,3050,210,44,313,10.1,No,2063
40,Female,52,Losing fat,23,21,169,90,2187,150,60,124,6.5,No,1849
24,Male,64,Losing fat,20,22,107,92,2556,63,25,332,5.1,No,1741
21,Female,70,Losing fat,39,20,144,101,1995,52,25,34,8.2,No,1030
30,Male,51,Losing fat,29,20,111,140,1200,82,25,97,6.7,No,1649
49,Female,58,Gaining muscle,22,14,171,127,3960,104,25,55,5.8,No,1554
32,Male,60,Losing fat,21,13,121,107,1604,191,56,59,5.0,No,1243
18,Female,50,Losing fat,29,17,100,98,3553,162,25,37,5.9,No,1030
25,Female,52,Gaining muscle,17,20,150,144,4300,78,49,52,9.7,No,1103
20,Male,75,Losing fat,31,20,119,138,1200,225,33,90,6.2,No,1030
30,Male,53,Gaining muscle,21,12,134,111,2173,57,27,22,8.5,No,1667
40,Female,54,Losing fat,22,17,118,90,2120,75,56,22,10.7,No,1622
13,Female,54,Losing fat,23,18,133,90,2355,71,25,89,9.5,No,1217
13,Female,62,Gaining muscle,23,19,118,105,1200,122,25,22,11.0,No,1030
57,Female,51,Losing fat,20,14,158,163,3509,173,25,24,9.0,No,1055
13,Female,51,Gaining muscle,45,17,142,108,2346,72,25,22,5.0,No,1593
13,Male,62,Gaining muscle,13,23,195,130,3005,125,61,400,7.1,No,1030
60,Female,50,Losing fat,13,13,123,169,2840,70,81,22,7.2,No,1030
30,Female,55,Losing fat,21,17,124,90,1708,51,25,310,5.0,No,1204
14,Female,58,Gaining muscle,29,22,167,90,2824,113,25,22,5.7,No,1030
49,Female,65,Gaining muscle,45,25,135,137,1823,140,47,72,5.3,No,1256
13,Male,50,Gaining muscle,19,15,122,184,3800,63,38,330,5.3,No,1352
21,Male,68,Gaining muscle,19,27,173,152,1400,225,79,113,11.0,No,1262
13,Female,64,Losing fat,45,21,160,137,3536,68,33,79,8.1,No,1500
15,Female,64,Losing fat,21,21,152,142,1200,123,92,78,6.9,No,1558
44,Female,56,Losing fat,21,17,171,90,2338,85,25,57,6.8,No,1166
13,Female,50,Losing fat,33,15,171,175,3514,114,25,22,7.3,No,1030
13,Male,65,Losing fat,21,20,149,90,1200,55,25,22,5.0,No,1551
54,Female,53,Losing fat,35,17,123,131,1918,51,25,133,5.7,No,1805
13,Female,53,Losing fat,32,20,145,125,2096,79,49,140,11.0,No,1030
13,Female,50,Losing fat,19,20,100,90,2004,66,25,22,11.0,No,1030
48,Male,66,Gaining muscle,17,19,135,139,4293,225,66,399,5.1,No,1447
36,Male,53,Losing fat,19,13,181,133,1861,80,72,153,11.0,No,2743
13,Female,55,Losing fat,34,25,147,90,1694,124,36,77,11.0,No,1608
28,Male,73,Gaining muscle,19,21,167,131,1357,84,25,364,4.3,No,1966
31,Male,58,Losing fat,22,19,180,190,1572,85,59,54,7.7,No,1412
13,Female,53,Gaining muscle,18,24,108,111,2333,71,73,22,6.0,No,1030
23,Female,67,Losing fat,21,21,154,131,2992,98,37,82,11.0,No,2079
43,Male,74,Gaining muscle,16,13,164,189,4300,128,90,142,3.8,No,1443
21,Male,65,Gaining muscle,16,19,160,90,4238,221,77,110,7.6,No,1184
23,Female,63,Losing fat,20,20,183,90,1974,51,25,22,11.0,No,1030
13,Female,63,Losing fat,21,25,167,90,1224,57,25,30,11.0,No,1030
15,Male,61,Gaining muscle,18,22,171,132,2588,122,54,236,9.9,No,1030
16,Female,50,Losing fat,23,24,104,181,1991,131,66,49,6.2,No,1159
13,Male,53,Losing fat,24,21,120,128,1656,89,81,22,11.0,No,1105
44,Male,59,Gaining muscle,12,12,159,130,3261,72,41,141,2.0,No,2090
68,Male,65,Gaining muscle,22,30,160,118,4300,138,33,77,11.0,No,1441
44,Male,64,Gaining muscle,19,23,118,134,1676,86,25,34,8.7,No,1436
52,Female,60,Losing fat,35,21,114,115,2215,84,47,22,11.0,No,1030
20,Female,50,Gaining muscle,19,18,100,98,2333,77,62,475,6.4,No,1352
14,Male,63,Gaining muscle,15,17,129,114,3298,225,75,135,7.0,No,2258
13,Female,50,Losing fat,36,28,118,90,1844,111,25,23,7.8,No,1030
66,Female,54,Gaining muscle,17,30,194,111,4086,87,50,39,8.0,No,1084
51,Female,55,Losing fat,24,27,120,132,1611,59,25,33,5.8,No,1039
49,Male,68,Gaining muscle,20,15,132,131,4219,102,47,104,7.9,No,2063
16,Male,61,Losing fat,27,22,144,135,1601,151,96,74,4.9,No,1150
22,Female,59,Losing fat,19,30,176,94,2055,222,40,22,11.0,No,1756
18,Female,65,Losing fat,22,22,151,124,1748,68,25,22,8.9,No,1277
13,Female,55,Losing fat,34,22,100,199,1915,114,40,49,11.0,No,1030
13,Female,53,Gaining muscle,20,22,115,90,2258,67,25,50,5.7,No,1030
14,Male,58,Losing fat,19,16,146,129,2263,225,73,81,7.7,No,1130
25,Male,51,Gaining muscle,45,18,126,167,2024,65,55,69,7.1,No,1125
18,Female,65,Losing fat,32,27,132,131,3499,136,26,76,7.7,No,1289
53,Female,53,Losing fat,44,16,150,135,4031,56,49,29,11.0,No,1586
24,Male,60,Gaining muscle,21,30,148,134,2438,81,95,51,4.6,No,1498
13,Female,66,Losing fat,33,16,114,148,1836,64,25,108,10.8,No,1554
23,Male,61,Gaining muscle,15,26,120,90,2300,109,49,56,7.4,No,2189
29,Female,59,Losing fat,33,26,173,131,1949,73,25,100,7.8,No,1030
21,Female,50,Losing fat,18,20,133,123,2604,124,25,89,5.6,No,1030
13,Female,61,Losing fat,22,19,112,93,1801,120,25,22,11.0,No,1288
32,Male,64,Gaining muscle,20,12,133,142,4300,120,63,47,10.8,No,1346
14,Female,50,Losing fat,37,24,158,94,1565,55,34,36,5.6,No,1304
13,Female,50,Losing fat,20,21,100,90,1740,71,67,124,8.7,No,2881
15,Male,63,Losing fat,21,12,184,105,2633,76,28,58,5.4,No,3500
37,Male,63,Gaining muscle,21,19,187,111,1463,118,112,370,7.7,No,1600
29,Female,65,Losing fat,24,20,119,130,2751,64,25,22,10.2,No,1522
13,Female,57,Losing fat,16,16,185,164,1439,150,52,109,5.9,No,1406
20,Male,70,Gaining muscle,16,28,128,210,2028,141,122,50,11.0,No,1030
13,Female,54,Gaining muscle,17,23,117,195,1267,64,25,22,5.8,No,1030
34,Female,56,Gaining muscle,18,18,131,95,2268,83,49,37,10.2,No,1169
73,Female,70,Losing fat,24,19,169,127,1940,99,42,84,11.0,No,3500
29,Male,50,Gaining muscle,24,12,160,159,3032,78,116,357,11.0,No,1030
52,Male,75,Gaining muscle,17,19,134,125,3269,79,47,63,5.7,No,1782
50,Male,64,Gaining muscle,16,17,195,200,2782,225,68,475,5.6,No,1799
70,Male,58,Gaining muscle,20,21,195,139,2352,97,60,316,7.2,No,2049
13,Male,62,Gaining muscle,24,26,173,132,1611,180,47,78,8.2,No,1183
39,Male,72,Gaining muscle,15,14,138,92,4300,225,91,142,9.9,No,2180
13,Female,50,Losing fat,19,22,156,90,1895,57,25,22,9.2,No,1030
13,Male,72,Gaining muscle,18,23,132,196,2768,145,25,475,9.8,No,2411
33,Female,59,Losing fat,23,23,124,90,1378,87,25,44,5.9,No,1030
17,Male,60,Losing fat,35,28,117,93,2866,86,29,110,6.6,No,1680
13,Female,53,Gaining muscle,23,16,141,90,2543,77,25,191,7.6,No,1520
33,Female,63,Losing fat,24,25,179,90,2601,82,25,34,8.5,No,1348
25,Female,64,Losing fat,22,27,165,123,1890,92,25,36,6.7,No,1035
13,Male,52,Gaining muscle,13,12,118,163,2226,84,25,142,9.9,No,2239
13,Female,65,Gaining muscle,29,18,116,176,3824,86,110,88,9.7,No,1889
13,Female,62,Gaining muscle,18,19,120,108,2117,78,25,70,5.9,No,1030
16,Female,57,Losing fat,28,28,103,168,2572,68,65,22,11.0,No,1030
13,Male,65,Gaining muscle,19,15,166,90,2183,56,161,65,4.5,No,1540
31,Female,50,Losing fat,24,26,100,134,1763,51,25,96,5.6,No,1030
16,Female,65,Losing fat,38,25,116,116,1573,64,25,172,11.0,No,1203
23,Female,53,Losing fat,18,30,100,90,2754,79,25,56,10.6,No,1030
13,Male,50,Gaining muscle,16,19,117,124,2661,146,48,126,5.2,No,1860
26,Female,64,Losing fat,35,19,148,136,3008,94,28,57,11.0,No,1340
13,Male,74,Gaining muscle,20,27,132,188,3164,128,54,27,9.9,No,1550
21,Male,56,Losing fat,19,13,181,96,2150,125,29,86,7.4,No,1484
20,Male,71,Losing fat,34,18,195,138,1881,96,75,254,9.7,No,1658
13,Female,50,Losing fat,22,13,164,94,1849,51,25,42,6.5,No,1030
23,Male,67,Losing fat,32,23,110,104,2459,80,58,55,7.9,No,1531
33,Male,64,Gaining muscle,17,12,127,225,2813,113,147,102,5.5,No,1546
35,Male,74,Gaining muscle,13,28,171,146,2979,225,79,99,6.9,No,1472
17,Male,59,Losing fat,15,24,132,90,1815,67,68,56,7.3,No,1030
55,Female,50,Gaining muscle,23,30,100,133,3369,225,105,65,11.0,No,1030
13,Male,63,Losing fat,23,22,120,102,1469,88,54,48,7.5,No,1548
44,Male,55,Gaining muscle,19,14,109,133,4300,71,25,78,7.1,No,2310
54,Female,60,Losing fat,22,17,172,122,1729,53,54,54,11.0,No,1079
43,Female,62,Gaining muscle,22,28,151,111,3320,94,88,22,5.7,No,1030
13,Female,62,Gaining muscle,33,24,154,138,1729,222,25,42,4.8,No,1030
13,Female,50,Losing fat,20,22,157,90,1528,58,25,22,11.0,No,1030
13,Male,65,Gaining muscle,15,12,132,143,4300,95,63,116,10.4,No,1245
15,Male,72,Gaining muscle,16,28,122,92,2293,87,27,96,5.1,No,1337
17,Female,71,Losing fat,31,24,114,139,1604,199,51,391,11.0,No,1355
42,Male,68,Gaining muscle,12,17,190,201,2091,143,75,161,7.7,No,1812
45,Male,68,Gaining muscle,15,18,190,179,2524,122,503,441,5.3,No,1884
13,Male,50,Gaining muscle,21,25,136,122,1349,74,25,113,6.6,No,1771
44,Male,57,Gaining muscle,12,26,190,200,2154,59,25,81,10.2,No,2084
14,Female,59,Losing fat,12,30,100,90,1910,77,25,61,4.6,No,1207
22,Female,50,Losing fat,22,13,111,90,1424,51,25,27,7.5,No,1342
39,Male,67,Gaining muscle,18,13,132,127,2048,137,72,52,5.2,No,1341
13,Female,51,Gaining muscle,19,20,100,90,1650,55,25,22,6.0,No,1030
41,Male,72,Gaining muscle,21,16,115,90,2934,94,36,43,5.4,No,1588
35,Male,71,Gaining muscle,15,29,145,106,1941,113,25,171,7.6,No,1428
68,Female,68,Gaining muscle,21,15,136,165,1861,69,25,22,5.1,No,1133
13,Male,69,Gaining muscle,19,19,127,146,2691,224,25,435,11.0,No,1543
52,Male,70,Gaining muscle,19,21,195,103,2804,83,46,88,11.0,No,1639
22,Female,50,Losing fat,36,23,100,123,1483,71,43,67,5.9,No,1468
13,Male,50,Losing fat,20,19,103,119,1527,68,25,22,10.3,No,1030
58,Female,72,Gaining muscle,21,16,195,123,4300,163,54,49,9.6,No,1740
13,Male,58,Gaining muscle,17,12,136,145,4300,93,42,190,6.2,No,2360
47,Female,50,Losing fat,15,25,148,90,1676,225,25,30,11.0,No,1431
21,Female,66,Gaining muscle,22,22,173,129,4300,131,105,88,4.7,No,1705
36,Female,70,Losing fat,23,20,115,148,1564,77,25,22,6.0,No,1126
13,Female,63,Gaining muscle,22,22,120,139,1579,82,25,254,10.6,No,1797
52,Female,55,Gaining muscle,19,15,115,90,3958,145,64,146,5.9,No,1229
53,Male,66,Gaining muscle,17,15,103,225,4300,223,73,73,7.5,No,2252
33,Female,52,Losing fat,21,20,110,188,1786,57,65,81,6.6,No,3324
13,Female,61,Losing fat,22,21,100,173,2012,119,30,421,8.0,No,1153
13,Male,53,Losing fat,20,27,189,90,1466,67,38,131,11.0,No,3430
73,Male,69,Gaining muscle,20,12,195,107,2681,225,62,79,4.5,No,1983
17,Male,65,Gaining muscle,22,18,128,150,2513,112,78,118,5.6,No,2092
13,Male,53,Gaining muscle,19,22,179,90,4300,92,83,110,4.0,No,1830
40,Female,56,Gaining muscle,22,24,158,160,2568,66,93,72,5.6,No,1171
32,Male,52,Losing fat,26,20,183,90,1240,61,32,122,8.0,No,1030
29,Female,56,Losing fat,17,25,133,181,1599,139,25,77,11.0,No,1030
73,Male,53,Losing fat,18,18,100,128,2809,122,25,93,6.9,No,1500
28,Male,62,Gaining muscle,14,24,112,91,2482,84,55,101,7.2,No,1242
13,Female,50,Losing fat,41,24,131,90,1200,62,30,323,11.0,No,1030
18,Female,51,Gaining muscle,23,26,103,140,2378,107,33,45,7.9,No,1517
27,Male,68,Losing fat,19,17,181,166,2101,85,83,91,7.4,No,1477
26,Female,65,Losing fat,21,13,179,94,2641,99,42,113,11.0,No,1030
23,Male,67,Losing fat,45,23,180,133,1823,118,79,85,8.2,No,1030
15,Female,59,Losing fat,18,24,195,90,1827,74,25,240,7.5,No,3245
13,Female,53,Losing fat,22,17,109,121,1200,70,25,34,11.0,No,1030
13,Female,61,Losing fat,34,22,100,90,1717,84,25,96,11.0,No,1993
33,Female,50,Gaining muscle,21,12,117,101,2386,84,25,112,7.2,No,1268
13,Male,59,Gaining muscle,12,18,124,91,4300,153,95,475,6.8,No,1877
13,Female,66,Gaining muscle,20,17,129,178,3145,86,41,238,5.0,No,1259
54,Female,63,Losing fat,18,26,175,101,1807,115,25,38,5.6,No,1030
44,Male,51,Gaining muscle,27,19,110,199,2670,225,68,138,6.5,No,1030
19,Female,70,Gaining muscle,22,18,106,131,1991,88,107,447,4.8,No,1506
13,Male,54,Losing fat,22,24,114,90,2210,66,62,131,6.9,No,1396
31,Female,60,Losing fat,36,24,145,125,2392,225,75,80,5.6,No,1159
13,Male,58,Losing fat,35,23,100,131,1200,51,25,126,6.2,No,2616
49,Female,64,Losing fat,23,21,113,90,2254,110,25,51,11.0,No,1030
39,Male,68,Gaining muscle,18,20,146,179,3849,225,74,475,7.1,No,1412
29,Male,76,Gaining muscle,20,16,156,146,3225,121,25,114,10.4,No,1519
13,Male,68,Gaining muscle,19,22,112,90,1977,53,28,29,5.6,No,1840
13,Female,50,Losing fat,21,24,118,90,2052,96,25,73,10.8,No,1455
35,Male,73,Gaining muscle,17,18,125,98,2471,225,65,30,9.6,No,2017
13,Male,66,Losing fat,20,12,100,90,2124,133,38,114,7.0,No,1474
19,Female,66,Gaining muscle,20,21,184,131,1648,155,25,24,4.6,No,1030
